,NOMO1,MOLM13
AARS,-1.560562844962172,-1.88574010210332
ACACA,-0.28036522260543073,0.4943472291205176
ACACB,-0.03532026136219206,0.051807129306163234
ACAT1,0.13019723215623635,0.20324583536365384
ACLY,-0.6518053351157832,-0.6663245661753838
ACO1,0.3158606902815206,0.16279732555248486
ACSL4,-0.6177846374229564,-0.9400210167184276
ADH7,0.10536211600774244,0.11434516386795172
AGPAT1,-0.2407882020026377,0.17974335548758247
AGPAT2,-0.3218365286426785,-0.06530745724801419
AMFR,-0.5750512360228778,-0.2183207138587245
APOBEC1,-0.10641087024217008,-0.0952611005821364
ARCN1,-1.163155704454646,-1.5219050009853323
ARID1A,-0.4939280481305437,-0.2291227751671052
ARID1B,0.12985732251041854,-0.14293850191587507
ATP6V1A,-1.5009638675918615,-1.9275814713021195
BCL2L1,-0.4783416233136496,-0.7890163746088498
BMP15,-0.009267342801426395,-0.10260789397631458
BPIFB6,0.07813366986312495,-0.09359800024389933
BRCA1,-0.6898719152447883,-0.660656188936654
BUD31,-1.6777714558861052,-1.85418863901363
C12orf49,-0.483770523033555,-0.5569472087452478
C3orf30,0.17308830876072412,0.1636119749376959
C8B,0.2460161340077455,0.11333253526213714
CAPN3,-0.0159263154808567,-0.10896776486609146
CCT2,-1.237229229680847,-1.4652592269055733
CCT7,-0.9003099116700826,-0.7319080207316428
CDC16,-1.8034303703597765,-1.7495585419272142
CDIPT,-1.0318216164324858,-0.9771051093527066
CDS2,-0.37997544109340825,-0.4722243214837611
CDX4,-0.17007613329071444,-0.2794535824756629
CHP1,-0.14553964729631366,1.4343058472181798
CKAP5,-1.0568556264769735,-1.326597544131322
CLDN17,-0.10982213784312984,0.2542963003904297
CLRN1,0.11645509361457232,0.07917999198817692
CPSF3,-1.2037236901789157,-1.2949467861420567
CPT1A,-0.02783221070938821,-0.2280566560374248
CPT2,-0.2903619793096811,-0.2335937936192459
CRLS1,-0.906360500810552,-0.6458392433105021
CST9,0.14740947625837802,0.04815799345142913
CXorf66,0.2449719351032789,0.07761298629119398
CYB5B,-0.7792937845523917,-1.1654207098318068
DDOST,-0.984761956372076,-1.0100229610168368
DDX20,-0.8843127869982705,-0.9400248930673741
DERL2,-0.4226683163649488,-0.4706685788419169
DGAT2L6,0.22439169610721293,0.15555457536481215
DHX15,-1.282224612015546,-1.5785478791774268
DHX8,-1.3408992767070982,-1.4896374923993083
DMXL1,0.03618004382049299,-0.1638397761200406
DMXL2,-0.06293288595179072,-0.035504893516495814
DPAGT1,-2.20973085385078,-1.904344775275349
DSPP,-0.004108488164260522,-0.10061794041409676
ECD,-1.077666588014048,-1.1448541597492938
EIF2S1,-2.028597824817045,-2.1116107995326763
EIF6,-1.2221777757964103,-1.3173961449641896
ERCC2,-0.8879955437051327,-0.7395921837776355
F13B,0.0824131390081511,0.16117853975968918
FABP3,-0.009317348562766416,0.19754668528262206
FABP5,-0.43934926862406704,-0.38590142690074974
FABP6,0.4487447695026748,0.1732404488024554
FAM50A,-1.4383512848502484,-0.951038570139609
FAM50B,-0.09755271342893176,0.2862413586288732
FASN,-0.02547609511891914,1.6045515663188223
FGF4,0.17730620101268302,0.09204769245919638
FMR1NB,0.022687607963141683,0.03939727004843383
G6PD,-0.3601959329896924,0.17367964974478853
GABRA1,-0.033420781157016584,0.24656350539151706
GFRAL,0.11065820357574667,0.27456024748647584
GLRA2,-0.18074707445089425,0.2788765554521538
GLS,-0.16023587385042684,-0.055938697283186664
GLS2,-0.17077671100961891,-0.20907278350825648
GLUD1,-0.2004143400571072,-0.15036418815742095
GOT1,0.06733664396175493,0.015082364140334094
GOT2,-0.12143510441714027,-1.0034443499598271
GPAM,0.04280989187234911,0.030207217810871413
GPAT2,-0.10333231946610902,-0.5533228970592962
GPAT3,0.2111752509864575,0.16524257015980634
GPAT4,0.17249966429752095,1.730729241507832
GPI,-0.09466321375051888,0.6761188315291945
GPR50,0.14604692393584592,0.284163327945064
GPX4,-0.91891400055655,-1.1482488179280317
GPX6,0.02361073914411136,0.16318629408183738
GSR,0.13610329432052926,0.21422672519658795
GSX2,-0.09604977808969864,-0.15605918035011498
GTF2B,-1.4780808407621604,-1.5651231238138972
HDAC1,-0.050672021658384594,0.01749430805701763
HDAC2,0.0571667943735206,0.24730463522100965
HMGCR,-0.9350311960870747,-0.8560394088432248
HMGCS1,-0.7849015238342937,-1.0793064451466878
HTR5A,-0.011732635798947831,0.1749514636259083
IDH1,-0.271958406069204,-0.05402953188011028
IDH2,-0.1638725052478469,0.09319140079097188
IDI1,0.44111283101397786,0.2641777237158537
IDI2,0.13035813322051387,0.09353748523907926
IMP3,-1.3658133816580975,-1.2796791646229877
IRF8,0.3357942031368374,-0.6596678694069955
KCNK10,0.009968393341767709,0.09526313959399896
KEAP1,0.12432597770821385,-0.19762200596927074
KIF11,-1.6822725193693937,-2.158060939724113
KLK12,0.12985336712413412,0.13232410115006438
LAS1L,-0.8485433527957121,-1.0487514795600876
