DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000001,NIHOVCAR3,NIHOVCAR3_OVARY,OVCAR3,905933.0,Female,ATCC,,,,,,CVCL_0465,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00105,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000002,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905938.0,Female,ATCC,,,,,,CVCL_0002,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35,SIDM00829,,blood,AML,M3,
ACH-000003,CACO2,CACO2_LARGE_INTESTINE,"CACO2, CaCo-2",,Male,ATCC,,,,,,CVCL_0025,Colon,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00891,,colorectal,colorectal_adenocarcinoma,,
ACH-000004,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053.0,Male,DSMZ,2.0,-3.079202,Suspension,RPMI + 10% FBS,47.6,CVCL_0001,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00594,,blood,AML,M6,
ACH-000005,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,2.0,-2.4044092,Mixed adherent and suspension,RPMI + 10% FBS,13.4,CVCL_2481,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00593,,blood,AML,M6,
ACH-000006,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908148.0,Male,DSMZ,,,,,,CVCL_1426,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",64,SIDM01023,,blood,AML,M5,
ACH-000007,LS513,LS513_LARGE_INTESTINE,,907795.0,Male,ATCC,2.0,-2.5867076,Adherent,RPMI + 10% FBS,52.3,CVCL_1386,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,63,SIDM00677,,colorectal,colorectal_adenocarcinoma,,
ACH-000008,A101D,A101D_SKIN,,910921.0,Male,ATCC,,,,,,CVCL_1057,skin,,Skin Cancer,Melanoma,56,SIDM00801,,skin,melanoma,,
ACH-000009,C2BBE1,C2BBE1_LARGE_INTESTINE,,910700.0,Male,ATCC,3.0,-4.135491399999999,Adherent,DMEM + 10% FBS + Glutamine + Insulin-Transferrin-Selenium,5.8,CVCL_1096,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,72,SIDM01233,,colorectal,colorectal_adenocarcinoma,,
ACH-000010,NCIH2077,NCIH2077_LUNG,NCI-H1581,,Male,Academic lab,,,,,,CVCL_5157,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000011,253J,253J_URINARY_TRACT,,,Male,KCLB,1.0,-3.1803793999999996,Adherent,DMEM + 10% FBS,11,CVCL_7935,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53,,,urinary_tract,bladder_carcinoma,,
ACH-000012,HCC827,HCC827_LUNG,,1240146.0,Female,ATCC,3.0,-4.2429977999999995,Adherent,RPMI + 10% FBS,12.7,CVCL_2063,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,SIDM01067,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000013,ONCODG1,ONCODG1_OVARY,,,Female,DSMZ,2.0,-5.3198622,Adherent,RPMI + 10% FBS,8,CVCL_1882,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00093,,ovary,ovary_adenocarcinoma,high_grade_serous,
