Supplementary Table 2: qGI Genetic Interaction Scores,,,,,,,,,
gene,FASN_merge,ACACA,LDLR,SREBF1,SREBF2,C12orf49,qGI_FASN_a,qGI_FASN_b,qGI_FASN_c
PFAS,0.432774736,-0.923047155,-0.263050325,-0.128875483,0.465198735,0.376962377,-1.84,-2.50,-2.62
PGAP2,-0.139240525,-0.90568811,0.321571138,-0.534386379,-0.279805193,0.223558083,-1.77,-1.53,-1.85
C12orf49,-1.53809667,-0.862675618,0.308719864,0.312794488,-0.480688973,0.028737242,-1.67,-1.38,-1.56
MOGS,-1.240866681,-0.762344715,-0.291682399,-0.292984172,0.017719122,-0.526991256,-1.55,-1.43,-1.11
MBTD1,-0.882196321,-0.76054095,-0.841427682,-0.323402619,-0.137500258,-0.483980204,-1.53,-1.57,-1.88
MYO10,-0.010944896,-0.749531187,-0.274350604,0.095861921,-0.114100834,-0.002312401,-1.50,-1.15,-1.08
BRD2,0.052189144,-0.742548671,0.163497185,0.502214715,0.014249777,-0.088127103,-1.41,-0.99,-1.24
KPNA3,-0.338696928,-0.74125678,-0.534438099,-0.052112843,0.498293949,0.398873066,-1.40,-2.19,-1.90
ZFYVE20,-0.310490066,-0.739054443,-0.26148815,-0.047304593,0.466797994,0.372431783,-1.34,-1.53,-0.85
SHMT2,0.469000858,-0.725348787,0.146493066,-0.098804704,0.167067476,0.248116988,-1.33,-0.33,-1.21
PPHLN1,-0.826302761,-0.721306484,-0.460195542,-0.128614955,-0.165657294,0.341225101,-1.32,-1.43,-0.83
MAP4K4,-0.777814735,-0.71984389,-0.147953661,-0.215622186,-0.348612871,0.165555611,-1.31,-1.39,-1.62
SERPINB6,0.249463575,-0.718350829,-0.388308444,0.054439984,-0.039060785,-0.114289192,-1.26,-0.73,-0.51
ATL2,-0.455835889,-0.711601339,0.056205769,0.009827266,0.063671644,-0.111420317,-1.24,-1.21,-1.41
NXF1,-0.164566049,-0.695427556,-0.137341762,0.212755111,0.24221968,-0.113513006,-1.14,-0.57,-0.25
HDAC3,-0.599737516,-0.691649379,-1.954444442,0.257281684,-1.008733621,-0.591749133,-1.11,-1.29,-0.95
RAB3GAP2,-0.832450586,-0.679702132,-0.076425582,-0.271654818,-0.654631605,-1.215307621,-1.08,-1.42,-1.96
MRPS21,0.042899383,-0.656357647,-0.207954091,0.406218265,-0.104326023,0.158364276,-1.08,-1.36,-0.73
SRSF1,-0.272179653,-0.655386676,0.048512742,-0.229775482,-0.236059029,-0.010262716,-1.06,-0.20,-0.10
ZDBF2,0.135496717,-0.644324847,0.011968892,-0.090916173,0.19985313,0.152100421,-1.05,-1.09,-1.20
SOAT1,0.354085909,-0.640585551,-0.109240001,0.145935124,-0.226968381,-0.314627218,-1.03,-0.37,0.41
RALGAPB,0.148141855,-0.632644762,-0.068942961,-0.022067516,0.206444201,0.281966692,-1.03,-1.19,-0.72
RHOG,-0.18914978,-0.627926438,0.249485816,-0.249318258,-0.153391659,0.087753542,-1.02,-1.16,-0.82
PGRMC2,-1.8293855,-0.626563586,-0.080602403,-0.171871368,0.195761993,-0.099406498,-1.02,-0.36,-0.80
RLIM,-0.344981905,-0.620665219,-0.07340951,0.145676513,0.210569882,0.450034792,-1.01,-0.93,-0.70
VDAC2,-0.471657191,-0.616208889,0.166167864,0.462344277,-0.399688808,-0.611954132,-1.00,-0.51,-0.74
TIPRL,-0.397119544,-0.611550272,0.07540028,-0.065295521,-0.071836966,0.121116805,-0.99,-0.48,-0.68
KNSTRN,0.042892399,-0.608873023,-0.270248219,-0.15867871,-0.221365164,0.063633896,-0.97,-0.59,0.02
SLCO4A1,-2.320589819,-0.608819779,-0.32718791,-0.305728822,0.052091654,-0.111802136,-0.97,-1.47,-1.58
SLC33A1,-0.860431246,-0.605428147,-0.364569266,-0.355048706,0.134599698,0.237827536,-0.96,-1.18,-1.16
AP2S1,-0.103437269,-0.604686206,-0.047210624,0.029222231,-0.280670623,-0.421764906,-0.96,-0.66,-1.02
GMPS,-0.29929441,-0.604503583,-0.064055331,0.285284198,0.187069809,0.144292673,-0.95,-0.86,-1.00
CLCC1,-0.711273344,-0.594178309,-0.131421823,0.175575322,-0.029579295,-0.013302251,-0.95,-0.38,-0.75
SLC35B2,-0.163849256,-0.592599301,0.035067365,0.217891029,-0.08945007,0.285631034,-0.94,-1.05,-0.35
C3orf58,-0.337362557,-0.589339799,-0.0018545,0.268312095,0.237017726,-0.321339012,-0.93,-1.33,-0.86
AURKA,-0.479919505,-0.586948039,-0.010662234,0.202826603,-0.273333934,-0.443303389,-0.92,-0.89,-1.42
NOP58,0.306768787,-0.585309924,0.050836075,0.378818629,-0.053511538,0.148650688,-0.92,-0.34,0.06
H2AFZ,0.479033929,-0.582702021,-0.18721662,0.281703489,-0.300982763,-0.12234832,-0.91,-0.55,-0.09
UGGT1,-0.294484458,-0.580541101,-0.195369703,-0.06386046,0.017121293,-0.103472408,-0.91,-0.80,0.31
ALG5,-0.612276508,-0.578229499,-0.075324385,-0.157852292,0.336679997,0.455442019,-0.90,-0.78,-0.58
MRPL35,-0.276883077,-0.575483019,-0.09884556,0.027831668,-0.005666445,-0.119597652,-0.90,-0.42,0.18
OXSM,-0.332252511,-0.574107225,0.254394819,0.294839451,-0.147994538,-0.039111747,-0.90,-0.32,-0.21
FAM186B,0.173238529,-0.573047785,0.070224494,-0.049329949,0.018789834,-0.016414753,-0.89,-0.94,-0.75
C6orf57,0.058948026,-0.571603987,-0.112557659,0.002107402,0.14610744,-0.284990527,-0.89,-0.89,-0.16
PTPLAD1,-0.178693429,-0.571489735,-0.307690145,0.247007737,0.217807204,0.07843217,-0.89,-1.12,-0.97
HFE2,0.170901139,-0.567298668,-0.338939177,-0.033714396,0.006199369,-0.116599611,-0.89,-0.31,-0.48
FPGS,0.07668052,-0.566312837,0.211134557,0.310993381,0.25052571,0.208170021,-0.88,-0.31,-0.93
SEPT5,0.089736106,-0.559322246,0.361373767,0.057500079,0.144339296,-0.073949498,-0.87,-1.16,-0.94
BAG6,-0.846133179,-0.555638616,-0.658607325,-0.125120006,0.199442721,0.417142855,-0.87,-0.09,-0.43
SEC31A,-0.338805082,-0.554197208,-0.182685197,-0.0011064,-0.238079342,0.156449204,-0.87,-0.56,-1.40
DHODH,0.107321805,-0.549721993,-0.423088964,-0.444788264,0.176087181,0.005581357,-0.87,-0.62,-0.27
ILK,0.167886107,-0.545024588,-0.376803538,-0.297505629,-0.190422612,0.037130774,-0.87,-0.43,-0.12
WDR73,-0.23452305,-0.544986489,-0.245592097,0.015306449,-0.099339789,0.439569024,-0.87,-0.47,-0.31
WEE1,-0.3132661,-0.544261759,-0.408809757,0.02188679,0.199733921,-0.028974571,-0.85,-0.11,0.63
RBM39,-0.202794984,-0.542537433,-0.232402923,-0.186333618,-0.197733665,0.162687009,-0.85,-1.03,-0.98
VMA21,-0.271567328,-0.539055732,-0.037717565,-0.047548769,-0.170454996,-0.153608044,-0.85,-0.84,-0.20
UNKL,0.163911334,-0.536935992,0.157224494,-0.158747279,-0.224200914,-0.050031298,-0.85,-1.02,-0.97
ITGB1,-0.576268161,-0.532225853,-0.209409345,-0.198322101,-0.29603529,-0.005047032,-0.84,0.05,-0.26
DDX46,-0.159685023,-0.531730273,0.263260018,-0.062042935,0.146979006,-0.304656757,-0.83,-0.68,-1.03
PCNT,-0.404977283,-0.531194099,0.23221191,-0.189441533,-0.135086541,-0.262007671,-0.83,-0.45,-0.43
HNRNPA2B1,-0.431416701,-0.53010388,-0.416094013,-0.214368546,-0.019861675,0.201020167,-0.83,-0.85,-0.72
ELMO2,-0.165298911,-0.529868438,-0.295920804,0.178926778,0.015700698,0.137948397,-0.83,-0.91,-0.48
MBTPS2,-1.075264347,-0.529470602,-0.936700581,-1.186008362,-0.709755141,-0.761804932,-0.82,0.10,-0.27
SUPT16H,-0.121868239,-0.529177594,-0.305482577,-0.281232545,-0.14408301,0.293862284,-0.82,-0.21,0.11
FASN,0.394704187,-0.527428517,-0.719213036,0.000288786,-0.910314043,-1.084231774,-0.82,-0.56,-0.40
SPAG7,0.346836886,-0.526747519,0.196628941,0.014584162,0.299533585,-0.047831518,-0.81,-0.73,-0.59
UFL1,-0.421927977,-0.526642448,-0.238081745,0.128999273,0.341789145,0.530798035,-0.81,-0.71,-0.96
MSTO1,0.251909342,-0.52483848,0.015553551,0.080359755,-0.278514643,-0.178646784,-0.80,-0.36,-0.06
KAT7,0.242087922,-0.523696486,-0.089950388,-0.153020914,-0.013417604,0.062196992,-0.80,-0.55,-0.65
YRDC,-0.279026646,-0.52361319,0.009513957,-0.280125905,-0.299473392,1.235010642,-0.80,-0.26,-0.49
PIGC,-0.213376253,-0.523301783,0.173227908,-0.116322513,0.216895786,0.101019465,-0.80,-0.88,-0.51
CWC25,-0.133129702,-0.52297168,-0.10047705,-0.107548617,0.136426544,0.100024935,-0.79,-0.18,-0.27
EPT1,0.002212207,-0.520366594,-0.167900136,0.212788747,0.245436947,-0.606416352,-0.79,-0.19,-0.04
UFSP2,-0.489215314,-0.517889058,0.009987784,-0.017670441,0.389859466,0.380984828,-0.79,0.05,0.36
PIGT,-0.107619677,-0.514000488,0.090926046,0.024469366,-0.008933868,0.163894857,-0.78,-0.39,-0.90
SREBF2,-1.243464004,-0.513313315,-0.973098072,-1.943931344,-0.050001624,-0.580590917,-0.78,0.02,-0.50
NSD1,0.248981137,-0.512963464,-0.236777064,-0.189446638,0.18480115,-0.329193985,-0.78,-0.32,-0.17
C20orf112,0.026444112,-0.511307882,-0.015906544,0.096895327,-0.170730903,-0.14333718,-0.78,-0.71,-0.47
UBE2G2,-0.714736305,-0.510694285,-0.239479562,0.110631923,0.258415155,-0.396269744,-0.77,-0.87,-0.60
CORO2B,0.061040872,-0.509869584,0.117102982,0.042803377,-0.141203551,0.083687243,-0.77,-0.66,-0.73
GANAB,-0.603173386,-0.509300742,-0.173925796,-0.319588683,-0.359549973,-0.505063344,-0.77,-0.94,-0.82
TMEM25,0.031679041,-0.508278309,0.01293266,-0.118221792,0.010073438,0.179729667,-0.77,-0.56,0.14
RAB15,0.025412444,-0.507128034,0.006816252,-0.068744064,0.085904482,0.087402174,-0.77,-1.10,-0.52
MPDU1,-0.953835438,-0.505846006,-0.425534075,-0.227565791,0.257672169,-0.089795825,-0.76,-0.33,-0.69
SDHAF1,-0.358876027,-0.505617544,-0.01913915,0.091889416,0.388051757,0.881769712,-0.75,-0.11,-0.79
FUS,-0.254821068,-0.505480357,0.451484921,-0.128465358,-0.233149824,0.100569778,-0.75,-0.16,-0.10
EIF3M,0.333160172,-0.504754255,-0.024087407,0.397870218,-0.140162201,0.11255908,-0.75,-0.32,0.06
INPP5A,0.020497419,-0.50469098,0.27704731,-0.0254554,0.288088784,0.378247961,-0.75,-0.02,-0.25
PIGW,-0.283971976,-0.501358702,0.067822089,-0.184420971,-0.206843882,0.204195288,-0.75,-0.58,-0.57
CCDC140,0.086498686,-0.500992846,0.094327647,0.017930782,0.016401497,-0.153159003,-0.74,-0.30,-0.26
NPRL2,-0.654214214,-0.498027143,0.10447417,-0.496061389,0.239236977,0.107522762,-0.74,0.71,0.80
BCL2A1,-0.084820088,-0.497521073,-0.432383891,0.288561604,0.205053282,-0.176609074,-0.73,-1.11,-1.33
OGT,0.305027357,-0.496890875,-0.29916981,-0.270895752,-0.38323992,-0.843030873,-0.73,-0.13,-0.65
AXIN1,-0.029824048,-0.496830826,0.209274055,-0.089883688,-0.27539732,0.058367997,-0.72,-1.11,-0.70
TMEM68,-0.631403345,-0.496337346,0.391490183,0.032891608,0.157028077,-0.273838121,-0.72,-0.47,1.39
RNF145,-0.221199215,-0.495375962,0.249701581,0.094258404,0.296204377,-0.017866821,-0.70,-0.51,-0.23
RAD17,-0.014053665,-0.494528129,0.164075629,0.005323842,0.013714459,-0.033358498,-0.70,-0.56,-0.66
CSE1L,-0.298178174,-0.492512533,-0.386454428,0.016423672,-0.165111024,0.384792723,-0.70,-1.32,-0.32
SDHB,-0.090082937,-0.491614419,-0.315042215,-0.212135117,0.005839921,0.173609191,-0.70,-0.79,-1.36
SCAP,-0.756410827,-0.491340747,-0.404223757,0.08734923,-0.458203119,-0.403001971,-0.69,-0.66,-0.76
SF3A1,-0.229106179,-0.489911143,-0.568297803,-0.138840382,-0.182218762,-0.243322091,-0.69,-0.63,-0.65
TPR,-0.121408861,-0.487736491,-0.207206344,-0.209376944,-0.646072102,-0.126233475,-0.69,-0.56,-0.61
DKC1,-0.171724942,-0.487565721,-0.102298867,0.092923747,0.365013842,-0.773958953,-0.69,-0.33,0.24
SLC30A9,-0.271663804,-0.487123535,-0.0094743,0.138009382,0.027009623,-0.378023003,-0.69,0.31,0.43
ARF1,0.053478622,-0.487012801,-0.132450073,0.130802168,0.284629835,0.268097242,-0.69,-0.65,0.17
BPTF,-0.029636195,-0.486518035,0.21245096,-0.028773241,-0.293117551,-0.256323944,-0.69,0.09,-0.06
AUTS2,-0.172869735,-0.486136764,0.150626323,-0.280695471,-0.00847943,0.062079343,-0.69,-0.62,-0.48
EXD2,0.010114621,-0.485438648,-0.397200193,-0.024517571,0.104076377,-0.084992825,-0.69,-0.60,-0.02
CDK5R1,0.134546561,-0.484773183,-0.12571393,-0.074281458,-0.031992142,0.054109595,-0.69,-0.94,-0.94
TMEM39A,0.352639423,-0.484422811,-0.223867596,-0.098939998,-0.016370807,0.386502242,-0.68,0.34,-0.36
ADPGK,-0.14025946,-0.483247796,-0.106266474,-0.121667914,-0.127350278,0.178611644,-0.68,-0.35,-0.25
SCAF1,-0.460750937,-0.482775167,-0.092097085,0.229360831,-0.1842026,0.039024172,-0.68,-0.28,-0.41
LRRC49,0.013474737,-0.480890716,0.033890383,0.279968914,0.007551195,-0.127526588,-0.68,-0.66,-0.38
EIF5AL1,-0.311577357,-0.479111718,-0.162583599,0.279390284,0.246356958,0.173216255,-0.68,-0.62,-0.66
C1orf74,-0.208816074,-0.478422025,0.114198045,-0.0486696,0.101660162,0.063676028,-0.68,-0.33,-0.38
SLC6A4,-0.30458833,-0.477819346,-0.028683261,0.471421372,0.018726546,-0.096430714,-0.68,-0.60,-0.50
SLC4A1AP,-0.217221291,-0.477812748,0.095195841,0.151070316,0.142047688,-0.339721672,-0.68,-0.25,-0.61
MFSD2A,-0.728461489,-0.476601193,-0.234634537,0.031189656,-0.132161186,-0.381825992,-0.68,-0.98,-0.14
GNB3,0.008362594,-0.476567208,0.169308118,-0.140990277,0.022320448,-0.472199205,-0.68,-0.17,-0.38
DAD1,-0.130752562,-0.476343594,0.115157301,0.046354121,0.160643205,0.222067297,-0.68,-0.25,-0.39
USP9X,-0.466301062,-0.474969766,-0.515411907,-0.028644386,-0.099003076,-0.3645991,-0.68,-0.16,0.10
ANKRD34C,-0.223916899,-0.474669893,-0.331007155,0.058066217,-0.199988833,0.004589878,-0.67,-0.91,-0.45
DOHH,0.011431897,-0.47357166,-0.112864704,0.055970957,0.218750023,-0.374507224,-0.67,-0.70,-0.58
PIAS1,0.073772642,-0.473201185,0.108587076,-0.183565806,0.609981276,0.265627037,-0.67,-0.17,0.19
NDUFA4,0.171631176,-0.473101193,-0.404569329,-0.27199654,-0.258542263,-0.290561494,-0.67,-0.37,-0.20
ARL2,0.061615487,-0.472406259,-0.310797043,0.355800672,-0.196911072,0.11799588,-0.67,-0.35,0.40
GSTM5,-0.187795902,-0.472275189,0.098718825,0.323333704,0.120808145,0.146242936,-0.67,-0.14,-0.25
SEPHS2,0.048238245,-0.470335325,-0.17826685,-0.017805127,0.134922542,0.10304335,-0.67,-0.17,0.03
NDUFS5,-0.32923922,-0.469385188,0.164387752,-0.094425161,0.28598499,0.020391637,-0.67,-0.57,-0.49
PIF1,-0.230926217,-0.468897551,-0.160599529,0.295152247,-0.274239747,0.139591612,-0.67,-0.92,-0.86
FOXK2,-0.004673733,-0.4687881,0.454871813,0.378890602,0.216695136,-0.164031601,-0.67,-1.14,-0.48
PDCD6IP,-0.514129556,-0.468769862,0.018304097,0.424943149,-0.453184899,0.524572615,-0.66,-0.53,-0.42
KIAA1407,-0.151483171,-0.468445859,0.06768826,-0.255148206,0.019985626,0.058146123,-0.66,-0.01,0.01
IL20RB,0.140385372,-0.468383866,0.278306994,-0.111482772,0.170508046,-0.039438023,-0.65,0.21,0.33
SRF,-0.396009951,-0.467917085,-0.01877083,0.127629203,-0.406388427,-0.128519026,-0.65,-0.14,-0.20
AASDHPPT,-0.002948302,-0.467423258,-0.065605162,0.070531283,-0.19282111,0.054909127,-0.65,-0.48,-0.34
MYCBPAP,-0.170467211,-0.467229678,0.046034173,-0.167189562,0.049067888,-0.072182005,-0.65,-0.23,-0.75
FMO1,0.06210235,-0.465766401,0.062426325,-0.171350805,0.016614789,-0.000195598,-0.65,-0.52,-0.30
FOS,0.053435837,-0.465221133,0.189039418,-0.054200249,-0.01636083,-0.068902168,-0.65,-0.27,0.22
CDC45,-0.277456777,-0.464094465,-0.006212786,-0.180031426,0.171833207,-0.141381895,-0.65,-0.03,0.08
BRWD3,-0.255700261,-0.463853171,-0.136853142,-0.206387695,0.113957132,0.213705648,-0.65,0.03,-0.36
