gene_a,gene_b,r_all,p_all,r_blood,p_blood,fdr_bh_all,fdr_bh_blood
AARS,GLRA2,-0.018038889330616693,0.6286916849274089,-0.17474790078377705,0.28732504914784013,0.844197561971132,0.7305168953191968
AARS,GSX2,-0.020935656707352812,0.5621286330400921,0.0005294449175294522,0.9973787480671684,0.8048374164332414,0.9994029235957335
AARS,PRSS37,0.10980949350384345,0.002293119201403228,-0.1808113631339475,0.25792522378953103,0.029499422892423438,0.717519684613849
ARCN1,SLC36A3,-0.019615362222718122,0.5870485187300594,0.18351147096852705,0.2507647490744779,0.8180970103151617,0.7170360864269766
ARCN1,GLRA2,0.06764254709450751,0.06948888026855395,-0.00650366575296514,0.9686557469795201,0.29452240643625516,0.9939497340001897
ATP6V1A,TSSK1B,-0.0301216200591599,0.4042085225423035,0.06875463064382643,0.669280400392577,0.6989084036191511,0.9228437989992013
ATP6V1A,RAX,0.013602696864375572,0.7064574017975481,-0.17207186668566718,0.2820287174689346,0.8820387483243018,0.7255585395295889
BMP15,BUD31,0.06791919367709802,0.06835351998036199,0.18606559471405903,0.2567476853887048,0.29237156173023976,0.717519684613849
BUD31,GLRA2,0.0009805140420395518,0.9790319798702375,-0.31132386765365844,0.05370497059975981,0.9946157107221759,0.404366837457015
BUD31,CXorf66,-0.09214331217783066,0.01331782032367872,-0.4759231964452745,0.0021960008073501295,0.10331400008671977,0.07596975765968016
CCT2,OPN5,-0.026209905723092498,0.4679826630394788,0.03242828033138338,0.8404845551264079,0.7425196433329915,0.9820012904595148
CCT2,GSX2,0.0409932759220124,0.25620506428361167,-0.2106611230628498,0.18614574341107692,0.5751062210091796,0.6583898237619494
CCT2,RNF17,-0.03195335592010769,0.3799848102470191,0.1963616345283433,0.21852248957311188,0.6788284118858121,0.6911828827249444
CCT7,PPP3R2,-0.03568104656793136,0.32306899390570687,-0.16767752492087465,0.2946853621909813,0.6391473140638405,0.7331336513206143
CCT7,OPN5,-0.04379944744876305,0.2250524758348477,-0.2325256265731565,0.14347170353963057,0.5430106862744676,0.6159481270888195
CCT7,TSSK1B,-0.0364694982801384,0.3124852153719047,-0.052881662968428916,0.7426348180460706,0.6318816361390807,0.9474617571072724
CDC16,GSX2,0.028925370494199493,0.4231386686829678,-0.03189032607486102,0.8430974395460449,0.713593538753885,0.9820012904595148
CDC16,RNF17,0.08215114102755695,0.023798739696127683,0.04171932392285402,0.7956464279327669,0.14896032670436887,0.9635520478572084
CDC16,TSSK1B,-0.048163557452053696,0.18213240185574178,0.2302363360862612,0.1475672256591806,0.4901681777166943,0.6159481270888195
CKAP5,GLRA2,-0.057449800505572995,0.12326652550336223,-0.1704843374368738,0.29943049417432216,0.4038550840078017,0.7380904848202917
CKAP5,RAX,0.006236681638106711,0.8629117525122191,-0.23653094792588442,0.13650870288231642,0.9497223071501637,0.6093727410683109
C3orf30,CKAP5,0.010846664774383835,0.7639431714268504,0.09657671928468489,0.548056111661003,0.9104723085906596,0.8926360569024501
CPSF3,GPX6,0.032649806463685385,0.36968183833633167,-0.1028140462826386,0.5223867575518557,0.6763407711220655,0.8827207198899752
CPSF3,GSX2,-0.0488050731939635,0.17979539135283182,0.2506711919406677,0.11392426358099166,0.4896555338970739,0.5670239007274263
BMP15,CPSF3,-0.034209178052763835,0.3627212193526825,-0.35402721107479773,0.027026943431075163,0.674348028972189,0.28828739659813507
DDOST,GSX2,-0.11055193689867998,0.0021396750822755676,-0.19180771624713158,0.2296035996610546,0.027832761894164476,0.7030796820126916
DDOST,SLC36A3,0.0007959320951211004,0.9824192609819826,0.2891230736990825,0.06674087750320247,0.994675560065059,0.44035218146442867
DDX20,PPP3R2,0.022290475157236075,0.537099537011662,0.17009374296304555,0.2876815909057096,0.7870491212077017,0.730619913411326
DDX20,PRSS37,-0.018870113732862473,0.6013364664194282,-0.1565529360212239,0.32833555341287396,0.8267158039985448,0.7545625400148165
CXorf66,DHX15,0.012903936148557124,0.7294159745290854,-0.009405043297891559,0.9546848306133412,0.8937069537234438,0.9896440849346524
DHX15,RXFP3,0.04822420631814463,0.1815819276633564,0.29489755697844666,0.06124324211542529,0.4901681777166943,0.42603994515078464
DHX15,OPN5,-0.09713566189551108,0.007025154769124909,-0.10127973091998974,0.5286456344130493,0.06710595600358123,0.8827207198899752
DHX8,RNF17,-0.045709738116378545,0.20903645458673387,-0.3503255983677894,0.024736196493588315,0.5251553716801165,0.27896327323165676
C3orf30,DHX8,0.07405694450128265,0.04005888877948236,0.1536641167711636,0.33745035204542595,0.21243866708030437,0.763607795231324
DHX8,OPN5,-0.06806563660968228,0.0592093234438388,0.3295378182164706,0.035379760050225625,0.2715204757129554,0.3342147074855262
DPAGT1,NDST4,-0.022599809213136306,0.5314642694151611,-0.259351052509339,0.10153543975027972,0.7830122684822348,0.5428098703526226
DPAGT1,RXFP3,0.09761044882703922,0.006750900131810299,0.21408895557955965,0.17891957352742355,0.0657121837925261,0.647855881513726
DPAGT1,RAX,0.05344332458229209,0.13869287263924884,-0.1364820322333387,0.3948375785992537,0.42716029997189997,0.8144917012200561
ECD,RNF17,0.03930858456689179,0.28007439682062035,-0.008001379901142303,0.9604011854480026,0.5999920132726261,0.9917345331897153
ECD,PRSS37,0.06710514247318318,0.0649887323194329,-0.18702867369473827,0.24163914734978814,0.2864052279453981,0.7102137970326724
ECD,PPP3R2,0.0328680874281886,0.36648869281963964,-0.3634264333714311,0.019512553979196427,0.674348028972189,0.25357361926211297
EIF2S1,RNF17,-0.053374025656621894,0.1423400172538362,0.17379049899292914,0.27717656788649103,0.43225438217060574,0.7226170801641452
BMP15,EIF2S1,-0.006950986848255148,0.8521919146064572,-0.21166720627158225,0.19581445457032842,0.9471772748408018,0.6728657767785782
EIF2S1,PPP3R2,-0.09656795220488056,0.007366165047770957,-0.21901676516901342,0.16888595442988463,0.06882256394997684,0.6350092152014244
EIF6,OPN5,-0.11136642506839353,0.0019821915910972535,-0.17768905210595465,0.2663736483346099,0.0267074235432051,0.7226170801641452
EIF6,PPP3R2,-0.09722878904910925,0.006970586671045547,-0.24097542691663837,0.12907910564966624,0.06683408943024945,0.5996897796347214
ERCC2,RXFP3,0.01372414877298566,0.7061773525038006,-0.13487974658304316,0.4004628190380046,0.8820387483243018,0.8162299496316018
ERCC2,NDST4,0.06407169066710972,0.07811284771044438,0.26221510618427946,0.09768237725614035,0.3141481096075971,0.536624218402831
ERCC2,GLRA2,0.008177372297696347,0.8278089321375831,0.19525604237042002,0.23357197234959853,0.9414441875931643,0.7074090154428547
C3orf30,GTF2B,0.008792372654984667,0.8091559740433171,-0.03468984879584884,0.8295187229196924,0.931322753108131,0.9795055030786035
GPX6,GTF2B,0.040044005240563035,0.2711679936635972,-0.2690717400393965,0.08891448132722829,0.5913032911233465,0.5126600725173523
IMP3,PPP3R2,-0.0821120708502726,0.02277549123295925,0.052677040941348355,0.74359693665955,0.14568938759270164,0.9474617571072724
IMP3,RAX,-0.060065173596059514,0.09602218594679332,-0.09012707982135254,0.5752130642569003,0.34966827314906246,0.8994248417531446
KIF11,SLC36A3,-0.09635149721148714,0.007500038430059835,-0.1680727452752159,0.29353231017558756,0.06931443458827861,0.7324003060911347
GPX6,KIF11,-0.03158088876124706,0.3818142297569521,0.1332879923778937,0.40609663525629136,0.6801979319260943,0.8198796421578123
KIF11,NDST4,-0.016674231396904143,0.6443176149081049,-0.09967300909548987,0.5352389568651289,0.853239941912129,0.888593858349371
GPX6,LAS1L,0.002340841368554394,0.9503527293525622,-0.061676514832527826,0.7091532996892075,0.9842301752767689,0.9348261829064733
LAS1L,RAX,-0.014183145976561217,0.7059694641734601,0.03884401798868736,0.8143819486297608,0.8820387483243018,0.9755815575536676
GLRA2,LAS1L,0.07079626605952029,0.05936676853130419,-0.07940291586177231,0.6308736606393315,0.2715204757129554,0.9148736017619242
LUC7L3,PPP3R2,-0.061224757446260665,0.08976388248082735,0.07663951032358227,0.633890757963025,0.34043783577913783,0.915250017808791
LUC7L3,RNF17,-0.008045213190372673,0.8250995722386846,0.3303127465833137,0.03492473475490641,0.9400333355278294,0.3331654478610246
C3orf30,LUC7L3,0.00470946634011924,0.8962612159988808,0.1296334763833668,0.4192020438762894,0.9576079770271848,0.8313690133452558
MYC,SLC36A3,0.012073957761303584,0.7401448221056436,0.1292581572820692,0.42056136387757576,0.898421405685371,0.8313690133452558
GSX2,MYC,0.010054364873708787,0.7824083214392336,-0.16578523190285754,0.30024647083979905,0.9174729675855525,0.7380904848202917
MYC,RXFP3,-0.023996195538340124,0.5097503855617798,0.08859679554159547,0.5817450109630207,0.7689514468761712,0.8994248417531446
GSX2,NELFB,0.045155690734323,0.21461421854890708,0.0552393464154827,0.7315773545124414,0.5327312323445181,0.9454003167853863
NELFB,PPP3R2,-0.0017874949904853024,0.9608402018416232,0.21327186422882238,0.18062358791479058,0.9894412376164745,0.6482839044530506
NOL6,SLC36A3,0.042949314638466185,0.23419086727700214,0.1532618482997837,0.33873186378991355,0.5527780233155621,0.763607795231324
NOL6,RXFP3,-0.03349875145181352,0.35356420859502297,0.17188784717584965,0.28255151317829647,0.6699662279816868,0.7255585395295889
GSX2,NOL6,0.028077766436581747,0.43685969796212687,0.10724437466412814,0.5045220873331933,0.7210579153984815,0.8721603231163165
NUP133,RNF17,-0.013165678248313611,0.7176115662012501,0.2867198629890762,0.06914086672890145,0.8877395319383415,0.4456603031577109
NUP133,TSSK1B,-0.07414719143715695,0.03981625901034657,0.05326178141868686,0.7408485535106177,0.21235338138851503,0.9473388096839068
NDST4,NUP133,-0.007454707383433618,0.8364847558588961,-0.30415451360765955,0.053187872243513366,0.9431154442467341,0.40284305604554504
PHB2,RNF17,-0.024131008492189868,0.5073746882458224,-0.0009472242054432492,0.995310364211071,0.7689514468761712,0.9994029235957335
GLRA2,PHB2,0.000747390941197407,0.9840164832414666,0.13789961098386688,0.4024946829895776,0.994675560065059,0.8179522871480546
OPN5,PHB2,-0.06587756212289246,0.06787244872924054,-0.05209641914640739,0.7463290710324528,0.29127628188764193,0.9476877153001061
C3orf30,POLR1C,-0.022859196394484294,0.5300155554857888,-0.018506408152316474,0.9085688218837005,0.7824912468532984,0.9872114086197902
GLRA2,POLR1C,-0.03426578620334006,0.3619271272864812,-0.0038985228360454913,0.9812081975447406,0.674348028972189,0.9967829308391016
CXorf66,POLR1C,0.002517004288171227,0.9466218347038093,-0.19982654494567983,0.22259313527274974,0.9834061043574096,0.6966239930296324
GLRA2,POLR2B,0.04122284145672385,0.2726643297234032,-0.03713294016644067,0.822424594797269,0.5920977850146643,0.9782780009663281
BMP15,POLR2B,-0.006314122288897124,0.8666224360946544,-0.11389425018115934,0.4899555419955019,0.9504043324587109,0.8713646559250667
POLR2B,RAX,0.07569193629539635,0.0373327642244867,0.01814214112513005,0.9103611200158788,0.20369435548941803,0.9872114086197902
POLR2E,SLC36A3,0.04028942748448219,0.26823935059451615,-0.028551854259586448,0.859348731249896,0.5874189371445349,0.9836759755349652
POLR2E,RNF17,-0.02588049480619417,0.4770787622860906,0.30168486777217,0.05524870795209878,0.7492770745106698,0.40877656750685804
NDST4,POLR3C,0.025374157677947005,0.48574407863948416,-0.3600838082476526,0.020748247425549572,0.753083533557358,0.2613725521823362
POLR3C,RXFP3,-0.006239040032343547,0.8639276076566852,0.19074708879326574,0.23223861271720458,0.9504043324587109,0.7044204366777769
PRPF19,RAX,0.060172735932485275,0.09542738457344495,-0.010616381915500525,0.9474753109092124,0.34938037416524287,0.9896440849346524
GSX2,PRPF19,0.019659154991587574,0.5862138241082251,-0.25718109963568586,0.10453132905439823,0.8177693355345171,0.5474625145927381
GPX6,PSMA7,0.023362901108004486,0.5176918188442985,0.4339059361980938,0.0045924735924916076,0.7763860903581747,0.11314443730450752
PSMA7,TSSK1B,-0.04213194097505645,0.24322162320732915,0.04861658891044943,0.7627667288630933,0.5632091554238317,0.9534516473927898
PSMA7,RAX,0.014654555101361582,0.6849307234742001,0.34724405831900873,0.02612080586127527,0.8719157892063414,0.2847475725373182
GLRA2,PSMG3,-0.047443633504128606,0.20321816723021655,-0.06029484066810438,0.7153934038910726,0.5150004701940069,0.9371025188975074
C3orf30,PSMG3,0.03377029994986551,0.3496736559833301,-0.1356659351388657,0.39769693966539127,0.6698898614064349,0.815596216218931
